tokens;ner_tags
UFT;B-Semplice_chimico
e;O
suo;O
metaboliti;O
inibire;O
il;O
angiogenesi;O
indotto;O
di;O
murina;B-Organismo
renale;B-Cancro
cellula;I-Cancro
carcinoma;I-Cancro
""",""";O
come;O
determinato;O
di;O
un;O
dorsale;B-Struttura_multi-tessuto
aria;I-Struttura_multi-tessuto
sacco;I-Struttura_multi-tessuto
dosaggio;O
in;O
.;O
;
UFT;B-Semplice_chimico
""",""";O
un;O
Anticancer;B-Cancro
agente;O
Quello;O
è;O
composto;O
di;O
tegafur;B-Semplice_chimico
(;O
Ft;B-Semplice_chimico
);O
e;O
uracil;B-Semplice_chimico
a;O
un;O
molare;O
rapporto;O
di;O
1;O
:;O
4;O
""",""";O
è;O
ampiamente;O
Usato;O
in;O
clinico;O
in;O
Giappone;O
a;O
trattare;O
cancro;B-Cancro
pazienti;B-Organismo
richiedendo;O
un;O
lungo;O
-;O
termine;O
chemioterapia;O
""",""";O
e;O
esso;O
è;O
associato;O
pochi;O
lato;O
Effetti;O
""",""";O
Se;O
qualunque;O
.;O
;
In;O
questo;O
studio;O
""",""";O
noi;O
avere;O
valutato;O
il;O
inibitorio;O
effetto;O
di;O
UFT;B-Semplice_chimico
contro;O
Renca;B-Cellula
cellula;I-Cellula
-;O
indotto;O
angiogenesi;O
di;O
un;O
dorsale;O
aria;O
sacco;O
dosaggio;O
.;O
;
Segnato;O
angiogenesi;O
è;O
indotto;O
di;O
impianto;O
di;O
un;O
Camera;O
contenente;O
Renca;B-Cellula
cellule;I-Cellula
in;O
.;O
;
In;O
questo;O
modello;O
""",""";O
UFT;B-Semplice_chimico
mostrato;O
un;O
forte;O
angiogenesi;O
-;O
inibitorio;O
effetto;O
""",""";O
invece;O
5;B-Semplice_chimico
-;I-Semplice_chimico
fluorouracil;I-Semplice_chimico
(;O
5;B-Semplice_chimico
-;I-Semplice_chimico
Fu;I-Semplice_chimico
);O
e;O
doxifluridina;B-Semplice_chimico
erano;O
meno;O
efficace;O
.;O
;
Aggiuntivo;O
esperimenti;O
rivelato;O
Ft;B-Semplice_chimico
a;O
essere;O
efficace;O
componente;O
di;O
UFT;B-Semplice_chimico
";";O
uracil;B-Semplice_chimico
inefficace;O
in;O
il;O
inibizione;O
di;O
angiogenesi;O
.;O
;
Inoltre;O
""",""";O
noi;O
avere;O
trovato;O
Quello;O
gamma;B-Semplice_chimico
-;I-Semplice_chimico
HydroxyButyric;I-Semplice_chimico
acido;I-Semplice_chimico
e;O
gamma;B-Semplice_chimico
-;I-Semplice_chimico
Butyrolattone;I-Semplice_chimico
""",""";O
il;O
metaboliti;O
di;O
Ft;B-Semplice_chimico
""",""";O
possedere;O
un;O
potente;O
angiogenesi;O
inibitorio;O
effetto;O
Quello;O
è;O
amplificato;O
quando;O
il;O
composti;O
sono;O
amministrato;O
di;O
un;O
continuo;O
infusione;O
.;O
;
Questo;O
Maggio;O
riflettere;O
un;O
transizione;O
in;O
sangue;B-Sostanza_organismo
concentrazione;O
di;O
ogni;O
metabolite;O
risultante;O
il;O
amministrazione;O
di;O
UFT;B-Semplice_chimico
.;O
;
Simile;O
risultati;O
erano;O
anche;O
ottenuto;O
rispetto;O
a;O
5;B-Semplice_chimico
-;I-Semplice_chimico
Fu;I-Semplice_chimico
.;O
;
Esso;O
era;O
suggerito;O
Quello;O
UFT;B-Semplice_chimico
ha;O
un;O
angiogenesi;O
-;O
inibitorio;O
effetto;O
di;O
fatto;O
Altro;O
fluorurato;B-Semplice_chimico
pirimidini;I-Semplice_chimico
""",""";O
dovuto;O
a;O
suo;O
Pharmacokinetic;O
proprietà;O
caratterizzato;O
di;O
mantenimento;O
di;O
e;O
lungo;O
-;O
duratura;O
sangue;B-Sostanza_organismo
livelli;O
di;O
5;B-Semplice_chimico
-;I-Semplice_chimico
Fu;I-Semplice_chimico
e;O
dovuto;O
il;O
inibitorio;O
Effetti;O
derivato;O
gamma;B-Semplice_chimico
-;I-Semplice_chimico
HydroxyButyric;I-Semplice_chimico
acido;I-Semplice_chimico
e;O
gamma;B-Semplice_chimico
-;I-Semplice_chimico
Butyrolattone;I-Semplice_chimico
""",""";O
UFT;B-Semplice_chimico
-;O
specifica;O
metaboliti;O
.;O
;
Nitrico;B-Gene_o_prodotto_genico
ossido;I-Gene_o_prodotto_genico
sintasi;I-Gene_o_prodotto_genico
inibizione;O
risultati;O
in;O
sinergico;O
anti;O
-;O
tumore;B-Cancro
attività;O
melfala;B-Semplice_chimico
e;O
tumore;B-Gene_o_prodotto_genico
necrosi;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
alfa;I-Gene_o_prodotto_genico
-;O
basato;O
isolato;O
arto;B-Suddivisione_organismo
Perfusioni;O
.;O
;
Nitrico;B-Semplice_chimico
ossido;I-Semplice_chimico
(;O
NO;B-Semplice_chimico
);O
è;O
un;O
importante;O
molecola;O
in;O
regolazione;O
tumore;B-Cancro
sangue;B-Sostanza_organismo
flusso;O
e;O
stimolante;O
tumore;B-Cancro
angiogenesi;O
.;O
;
Inibizione;O
di;O
NO;B-Gene_o_prodotto_genico
sintasi;I-Gene_o_prodotto_genico
di;O
L;B-Semplice_chimico
-;I-Semplice_chimico
NOME;I-Semplice_chimico
potrebbe;O
indurre;O
un;O
anti;O
-;O
tumore;B-Cancro
effetto;O
di;O
limitante;O
nutrienti;O
e;O
ossigeno;B-Semplice_chimico
a;O
portata;O
tumore;B-Tessuto
o;O
colpire;O
vascolare;B-Struttura_multi-tessuto
crescita;O
.;O
;
Il;O
anti;O
-;O
