tokens,;ner_tags
Il;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
genere;I-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
in;O
cronico;B-Cancro
myeloide;I-Cancro
leucemia;I-Cancro
:;O
analisi;O
di;O
Micaratellite;O
regioni;O
e;O
gene;O
espressione;O
.;O
;
Genomico;O
instabilità;O
è;O
uno;O
meccanismo;O
proposto;O
a;O
un;O
ruolo;O
in;O
il;O
malattia;O
progressione;O
di;O
cronico;B-Cancro
myeloide;I-Cancro
leucemia;I-Cancro
(;O
Cml;B-Cancro
);O
.;O
;
Micaratellite;O
regioni;O
in;O
il;O
genere;B-Gene_o_prodotto_genico
II;I-Gene_o_prodotto_genico
trasformazione;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
recettore;I-Gene_o_prodotto_genico
(;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
);O
gene;O
apparire;O
a;O
essere;O
obiettivi;O
per;O
mutazione;O
in;O
alcuni;O
Canceri;B-Cancro
Visualizzazione;O
Micaratellite;O
instabilità;O
(;O
replicazione;O
errore;O
fenotipo;O
""",""";O
Religioso;O
+;O
);O
.;O
;
""",""";O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
mutazioni;O
in;O
Religioso;B-Cancro
+;I-Cancro
tumori;I-Cancro
avere;O
stato;O
associato;O
diminuito;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
mRNA;O
livelli;O
.;O
;
Come;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
è;O
un;O
potente;O
negativo;O
crescita;O
regolatore;O
di;O
ematopoietico;B-Cellula
cellule;I-Cellula
""",""";O
indagini;O
erano;O
intrapreso;O
a;O
determinare;O
se;O
inattivazione;O
di;O
il;O
recettore;O
di;O
Micaratellite;O
alterazione;O
potrebbe;O
essere;O
coinvolto;O
in;O
il;O
progressione;O
di;O
Cml;B-Cancro
.;O
;
Analisi;O
di;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
mRNA;O
espressione;O
di;O
Rnase;B-Gene_o_prodotto_genico
protezione;O
""",""";O
confronto;O
di;O
cellule;B-Cellula
il;O
cronico;O
""",""";O
accelerato;O
e;O
raffica;O
fasi;O
di;O
Cml;B-Cancro
""",""";O
mostrato;O
no;O
modificare;O
in;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
trascrizione;O
livelli;O
durante;O
malattia;O
progressione;O
.;O
;
però;O
""",""";O
durante;O
ogni;O
fase;O
di;O
il;O
malattia;O
""",""";O
basso;O
livelli;O
di;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
erano;O
rilevato;O
quando;O
rispetto;O
il;O
ematopoietico;B-Cellula
cellule;I-Cellula
di;O
normale;O
donatori;B-Organismo
.;O
;
""",""";O
questo;O
diminuito;O
espressione;O
era;O
anche;O
osservato;O
in;O
il;O
Altro;O
mieloproliferativa;O
disturbi;O
""",""";O
policythemia;O
rubrica;O
Vera;O
(;O
PRV;O
);O
e;O
essenziale;O
trombocithemia;O
(;O
Et;O
);O
.;O
;
Il;O
leucemia;B-Cellula
cellula;I-Cellula
Linee;I-Cellula
K562;I-Cellula
e;O
Hl;B-Cellula
-;I-Cellula
60;I-Cellula
aveva;O
no;O
rilevabile;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
mRNA;O
.;O
;
Due;O
Micaratellite;O
regioni;O
trovato;O
alterato;O
in;O
Religioso;B-Cancro
+;I-Cancro
colon;I-Cancro
Canceri;I-Cancro
erano;O
analizzato;O
a;O
stabilire;O
Se;O
queste;O
Sequenze;O
erano;O
aberrante;O
in;O
Cml;B-Cancro
.;O
;
No;O
alterazione;O
era;O
rilevato;O
in;O
o;O
di;O
queste;O
regioni;O
in;O
qualunque;O
fase;O
di;O
il;O
malattia;O
.;O
;
Queste;O
risultati;O
suggerire;O
Quello;O
alterazioni;O
di;O
il;O
Micaratellite;O
regioni;O
in;O
il;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
gene;O
sono;O
non;O
coinvolto;O
in;O
il;O
progressione;O
di;O
Cml;B-Cancro
.;O
;
Diminuito;O
espressione;O
di;O
TGF;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
beta;I-Gene_o_prodotto_genico
Rii;I-Gene_o_prodotto_genico
in;O
Cml;B-Cellula
cellule;I-Cellula
e;O
leucemia;B-Cellula
cellula;I-Cellula
Linee;I-Cellula
solleva;O
il;O
possibilità;O
Quello;O
alterato;O
espressione;O
di;O
il;O
recettore;O
può;O
un;O
ruolo;O
in;O
il;O
iniziazione;O
e;O
/;O
o;O
Manutenzione;O
di;O
il;O
malattia;O
stato;O
.;O
;
n;O
-;O
Glicosilazione;O
di;O
glucosio;B-Gene_o_prodotto_genico
trasportatore;I-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
(;O
Glut;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
);O
è;O
associato;O
trasportatore;O
affinità;O
per;O
glucosio;B-Semplice_chimico
in;O
umano;B-Organismo
leucemico;B-Cellula
cellule;I-Cellula
.;O
;
Per;O
chiarire;O
il;O
ruolo;O
di;O
n;O
-;O
Glicosilazione;O
in;O
il;O
funzionale;O
attività;O
di;O
il;O
universale;O
glucosio;B-Semplice_chimico
trasportatore;O
""",""";O
Glut;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
""",""";O
noi;O
indagato;O
Effetti;O
di;O
il;O
n;O
-;O
Glicosilazione;O
inibitore;O
""",""";O
Tunicamycin;B-Semplice_chimico
""",""";O
Su;O
glucosio;B-Semplice_chimico
trasporto;O
di;O
umano;B-Organismo
leucemico;B-Cellula
cellula;I-Cellula
Linee;I-Cellula
K562;I-Cellula
""",""";O
U937;B-Cellula
e;O
HL60;B-Cellula
.;O
;
Trattamento;O
Tunicamycin;B-Semplice_chimico
prodotto;O
un;O
40;O
-;O
50;O
%;O
inibizione;O
di;O
2;B-Semplice_chimico
-;I-Semplice_chimico
Deossyglucosio;I-Semplice_chimico
uptake;O
e;O
questo;O
era;O
associato;O
un;O
2;O
-;O
2;O
.;O
5;O
-;O
piega;O
diminuire;O
in;O
trasportatore;O
affinità;O
per;O
glucosio;B-Semplice_chimico
(;O
Km;O
);O
un;O
modificare;O
in;O
Vmax;O
.;O
;
Leucemico;B-Cellula
K562;I-Cellula
""",""";O
U937;B-Cellula
e;O
HL60;B-Cellula
cellule;I-Cellula
espresso;O
Glut;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
trasportatore;O
proteina;O
.;O
;
K562;B-Cellula
cellule;I-Cellula
Glut;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
apparso;O
come;O
un;O
ampio;O
di;O
50;O
-;O
60;O
kda;O
""",""";O
invece;O
U937;B-Cellula
e;O
HL60;B-Cellula
cellule;I-Cellula
un;O
diffondere;O
era;O
osservato;O
a;O
circa;O
55;O
kda;O
.;O
;
Trattamento;O
di;O
K562;B-Cellula
cellule;I-Cellula
Tunicamycin;B-Semplice_chimico
per;O
18;O
h;O
""",""";O
risultato;O
in;O
esteso;O
perdita;O
di;O
il;O
50;O
-;O
60;O
kda;O
glicoproteina;B-Gene_o_prodotto_genico
""",""";O
di;O
un;O
30;O
-;O
40;O
kda;O
e;O
macchiatura;O
di;O
un;O
45;O
kda;O
.;O
;
U937;B-Cellula
cellule;I-Cellula
""",""";O
Tunicamycin;B-Semplice_chimico
trattamento;O
risultato;O
in;O
il;O
di;O
un;O
30;O
-;O
40;O
kda;O
e;O
macchiatura;O
di;O
un;O
45;O
kda;O
.;O
;
HL60;B-Cellula
cellule;I-Cellula
perdita;O
di;O
il;O
55;O
kda;O
Glut;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
era;O
osservato;O
e;O
un;O
di;O
45;O
kda;O
apparso;O
.;O
;
Tunicamycin;B-Semplice_chimico
-;O
trattamento;O
risultato;O
in;O
75;O
-;O
90;O
%;O
inibizione;O
in;O
[;B-Semplice_chimico
3h;I-Semplice_chimico
];I-Semplice_chimico
mannone;I-Semplice_chimico
incorporazione;O
ma;O
soltanto;O
20;O
-;O
25;O
%;O
inibizione;O
in;O
[;B-Semplice_chimico
3h;I-Semplice_chimico
];I-Semplice_chimico
timidina;I-Semplice_chimico
e;O
[;B-Semplice_chimico
3h;I-Semplice_chimico
];I-Semplice_chimico
leucina;I-Semplice_chimico
incorporazione;O
.;O
;
In;O
contrasto;O
""",""";O
Tunicamycin;B-Semplice_chimico
aveva;O
poco;O
effetto;O
Su;O
il;O
Viabilità;O
e;O
Mt;B-Semplice_chimico
risposte;O
di;O
il;O
cellule;B-Cellula
Usato;O
.;O
;
Queste;O
risultati;O
suggerire;O
Quello;O
in;O
leucemico;B-Cellula
cellule;I-Cellula
n;O
-;O
Glicosilazione;O
di;O
Glut;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
1;I-Gene_o_prodotto_genico
gioca;O
un;O
importante;O
ruolo;O
in;O
mantenimento;O
suo;O
struttura;O
e;O
funzionale;O
integrazione;O
.;O
;
Immunoistochimico;O
analisi;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
in;O
nodo;B-Struttura_multi-tessuto
-;O
positivo;O
polmone;B-Cancro
cancro;I-Cancro
e;O
linfa;B-Struttura_multi-tessuto
nodi;I-Struttura_multi-tessuto
.;O
;
Il;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
ha;O
stato;O
considerato;O
come;O
un;O
anti;O
-;O
metastatico;O
proteina;O
e;O
il;O
livello;O
di;O
suo;O
espressione;O
ha;O
stato;O
segnalato;O
a;O
correlare;O
inversamente;O
metastatico;O
potenziale;O
in;O
alcuni;O
Canceri;B-Cancro
.;O
;
però;O
""",""";O
il;O
espressione;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
in;O
il;O
metastatico;O
siti;B-Struttura_multi-tessuto
avere;O
non;O
stato;O
studiato;O
in;O
dettaglio;O
.;O
;
Noi;O
esaminato;O
il;O
espressione;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
in;O
chirurgicamente;O
resecato;O
46;O
coppie;O
di;O
primario;O
polmone;B-Cancro
Canceri;I-Cancro
e;O
metastatico;O
linfa;B-Struttura_multi-tessuto
nodi;I-Struttura_multi-tessuto
di;O
immunoistochimica;O
.;O
;
Il;O
positivo;O
macchiatura;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
in;O
primario;B-Cancro
Canceri;I-Cancro
e;O
metastatico;O
linfa;B-Struttura_multi-tessuto
nodi;I-Struttura_multi-tessuto
erano;O
osservato;O
in;O
56;O
.;O
5;O
e;O
67;O
.;O
4;O
%;O
""",""";O
rispettivamente;O
.;O
;
Il;O
eterogeneità;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
espressione;O
tra;O
primario;B-Cancro
Canceri;I-Cancro
e;O
metastatico;O
linfa;B-Struttura_multi-tessuto
nodi;I-Struttura_multi-tessuto
era;O
osservato;O
in;O
41;O
.;O
3;O
%;O
.;O
;
No;O
correlazioni;O
erano;O
trovato;O
tra;O
il;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
espressione;O
in;O
polmone;B-Cancro
Canceri;I-Cancro
e;O
il;O
pazienti;B-Organismo
sopravvivenza;O
.;O
;
No;O
significativo;O
associazione;O
era;O
anche;O
osservato;O
tra;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
espressione;O
in;O
linfa;B-Struttura_multi-tessuto
nodi;I-Struttura_multi-tessuto
e;O
il;O
pazienti;B-Organismo
sopravvivenza;O
.;O
;
Là;O
era;O
""",""";O
""",""";O
no;O
correlazione;O
tra;O
il;O
eterogeneità;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
espressione;O
e;O
il;O
pazienti;B-Organismo
sopravvivenza;O
.;O
;
In;O
conclusione;O
""",""";O
il;O
livello;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
espressione;O
fa;O
non;O
svelare;O
prognostico;O
valore;O
in;O
nodo;B-Cancro
-;I-Cancro
positivo;I-Cancro
polmone;I-Cancro
Canceri;I-Cancro
.;O
;
Espressione;O
di;O
nm23;B-Gene_o_prodotto_genico
-;I-Gene_o_prodotto_genico
H1;I-Gene_o_prodotto_genico
gene;O
Prodotto;O
in;O
metastatico;O
linfa;B-Struttura_multi-tessuto
nodi;I-Struttura_multi-tessuto
era;O
anche;O
a;O
pazienti;B-Organismo
sopravvivenza;O
.;O
;
Bradycardia;O
-;O
indotto;O
coronario;B-Struttura_multi-tessuto
angiogenesi;O
è;O
dipendente;O
Su;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
.;O
;
UN;O
segnato;O
coronario;B-Struttura_multi-tessuto
angiogenesi;O
è;O
conosciuto;O
a;O
verificarsi;O
cronico;O
Bradycardia;O
.;O
;
Noi;O
testato;O
il;O
ipotesi;O
Quello;O
vascolare;B-Gene_o_prodotto_genico
endoteliale;I-Gene_o_prodotto_genico
crescita;I-Gene_o_prodotto_genico
fattore;I-Gene_o_prodotto_genico
(;O
VEGF;B-Gene_o_prodotto_genico
);O
""",""";O
un;O
endoteliale;B-Cellula
cellula;I-Cellula
mitogeno;O
e;O
un;O
maggiore;O
regolatore;O
di;O
angiogenesi;O
""",""";O
è;O
upregolato;O
in;O
risposta;O
a;O
basso;O
cuore;B-Organo
Vota;O
e;O
consequenziale;O
ictus;O
volume;O
.;O
;
Bradycardia;O
era;O
indotto;O
in;O
ratti;B-Organismo
di;O
Amministrazione;O
il;O
Bradycardic;O
droga;O
alinidina;B-Semplice_chimico
(;O
3;O
mg;O
/;O
kg;O
corpo;B-Suddivisione_organismo
);O
quotidiano;O
.;O
;
Cuore;B-Organo
Vota;O
diminuito;O
di;O
32;O
%;O
per;O
20;O
a;O
40;O
minuti;O
dopo;O
iniezione;O
e;O
era;O
cronico;O
ridotto;O
di;O
10;O
%;O
""",""";O
14;O
%;O
""",""";O
e;O
18;O
.;O
5;O
%;O
dopo;O
1;O
""",""";O
2;O
""",""";O
e;O
3;O
settimane;O
di;O
trattamento;O
""",""";O
rispettivamente;O
.;O
;
Arterioso;B-Struttura_multi-tessuto
pressione;O
e;O
cardiaco;B-Organo
produzione;O
erano;O
invariato;O
.;O
;
Sinistra;B-Tessuto
ventricolare;I-Tessuto
capillare;I-Tessuto
lunghezza;O
densità;O
(;O
mm;O
/;O
mm;O
(;O
3;O
);O
);O
gradualmente;O
alinidina;B-Semplice_chimico
amministrazione;O
";";O
un;O
15;O
%;O
aumento;O
dopo;O
2;O
settimane;O
e;O
un;O
40;O
%;O
aumento;O
dopo;O
3;O
settimane;O
di;O
alinidina;B-Semplice_chimico
trattamento;O
erano;O
Documentato;O
.;O
;
Sinistra;B-Struttura_multi-tessuto
ventricolare;I-Struttura_multi-tessuto
""",""";O
corpo;B-Suddivisione_organismo
""",""";O
e;O
rapporto;O
erano;O
non;O
alterato;O
di;O
alinidina;B-Semplice_chimico
trattamento;O
.;O
;
Dopo;O
1;O
settimana;O
di;O
trattamento;O
""",""";O
prima;O
un;O
aumento;O
in;O
capillare;B-Tessuto
lunghezza;O
densità;O
""",""";O
VEGF;B-Gene_o_prodotto_genico
mRNA;O
maggiore;O
di;O
2;O
-;O
piega;O
e;O
poi;O
rifiutato;O
a;O
controllo;O
livelli;O
dopo;O
3;O
settimane;O
di;O
trattamento;O
.;O
;
VEGF;B-Gene_o_prodotto_genico
proteina;O
era;O
in;O
alinidina;B-Semplice_chimico
-;O
trattati;O
ratti;B-Organismo
di;O
in;O
controlli;O
dopo;O
2;O
settimane;O
e;O
ulteriore;O
dopo;O
3;O
settimane;O
di;O
trattamento;O
.;O
;
Iniezione;O
di;O
VEGF;B-Gene_o_prodotto_genico
-;O
neutralizzante;O
anticorpi;O
terminato;O
un;O
2;O
-;O
settimana;O
periodo;O
completamente;O
bloccato;O
alinidina;B-Semplice_chimico
-;O
stimolato;O
angiogenesi;O
.;O
;
In;O
contrasto;O
""",""";O
BFGF;B-Gene_o_prodotto_genico
mRNA;O
era;O
non;O
alterato;O
di;O
alinidina;B-Semplice_chimico
trattamento;O
.;O
;
Queste;O
dati;O
suggerire;O
Quello;O
VEGF;B-Gene_o_prodotto_genico
gioca;O
un;O
chiave;O
ruolo;O
in;O
il;O
angiogenico;O
risposta;O
Quello;O
avviene;O
cronico;O
Bradycardia;O
.;O
;
Il;O
meccanismo;O
sottostante;O
questo;O
VEGF;B-Gene_o_prodotto_genico
-;O
associato;O
angiogenesi;O
può;O
essere;O
un;O
aumento;O
in;O
allungare;O
dovuto;O
a;O
migliorato;O
diastolico;O
Riempimento;O
.;O
;
Esterno;O
trave;O
radioterapia;O
per;O
Subretenario;B-Entità_anatomica_immateriale
neovascolarizzazione;O
in;O
età;O
-;O
imparentato;O
maculare;B-Tessuto
degenerazione;O
:;O
è;O
questo;O
trattamento;O
efficiente;O
?;O
;
SCOPO;O
:;O
Controllo;O
di;O
il;O
naturale;O
corso;O
di;O
Subretenario;B-Entità_anatomica_immateriale
neovascolarizzazione;O
(;O
Srnv;O
);O
in;O
età;O
-;O
imparentato;O
maculare;B-Tessuto
degenerazione;O
(;O
Amd;O
);O
è;O
difficile;O
.;O
;
Soltanto;O
un;O
sottoinsieme;O
di;O
pazienti;B-Organismo
è;O
adatto;O
per;O
laser;O
coagulazione;O
.;O
;
Questo;O
prospettiva;O
studio;O
mirato;O
a;O
determinare;O
il;O
efficacia;O
e;O
individuale;O
beneficio;O
di;O
esterno;O
trave;O
radioterapia;O
(;O
Ebrt;O
);O
.;O
;
Metodi;O
E;O
Materiali;O
:;O
Il;O
prospettiva;O
processo;O
incluso;O
287;O
pazienti;B-Organismo
Subfoveal;O
neovascolarizzazione;O
dovuto;O
a;O
Amd;O
quale;O
era;O
Verificato;O
di;O
fluorescein;B-Semplice_chimico
angiografia;O
.;O
;
Pazienti;B-Organismo
avere;O
stato;O
trattati;O
tra;O
